Ticker,ISIN,CUSIP,Name,Global Broad Category Group,Global Category,Morningstar Category,Domicile,Exchange,Exchange Country,SecId,Investment Type,Figi
FHG.F,CA33732Q2071,33732Q207,FT AlphaDEX US Industrials Sector ETF H,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZV1I,Exchange-Traded Fund,BBG00JFF8LP6
FHM,CA33732P1009,33732P100,FT AlphaDEX US Materials Sector ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX9,Exchange-Traded Fund,BBG007FJZ5M2
FHQ,CA33732K1012,33732K101,FT AlphaDEX US Technology Sector ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNXA,Exchange-Traded Fund,BBG007FJZ6L1
FHQ.F,CA33732K2002,33732K200,FT AlphaDEX US Technology Sector ETF H,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZV1J,Exchange-Traded Fund,BBG00JFF8QK0
FHU,CA33732M1077,33732M107,FT AlphaDEX US Utilities Sector ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNXB,Exchange-Traded Fund,BBG007FJZBY6
FST.A,CA3373312014,337331201,FT Canadian Capital Strength ETF Adv,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F0CAN05N3F,Exchange-Traded Fund,BBG00FB4Y9Y1
FST,CA3373311024,337331102,FT Canadian Capital Strength ETF Comm,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F0CAN062AH,Exchange-Traded Fund,BBG00FB4Y8L7
FSR,CA33740G1000,33740G100,FT DW US Sector Rotation ETF (CAD Hdg),Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000XRZ5,Exchange-Traded Fund,BBG00DXB0DQ3
ETP.A,CA33739T2048,33739T204,FT Global Risk Managed Income ETF Adv,Allocation,Cautious Allocation,Canada Fund Global Fixed Income Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F00000TX3A,Exchange-Traded Fund,BBG006VZMWH1
ETP,CA33739T1057,33739T105,FT Global Risk Managed Income ETF Com,Allocation,Cautious Allocation,Canada Fund Global Fixed Income Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F00000TX3B,Exchange-Traded Fund,BBG006VZMVK9
